"ID","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"64","SSP3",2083,6436.83129928228,4378.94648342399,4783.36922889257,7506.65531618905,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"65","SSP3",2084,6424.27717293948,4377.69555284516,4770.01329211226,7463.91152048986,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"66","SSP3",2085,6426.17025067534,4333.95590904309,4656.18880897495,7268.55331760417,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"67","SSP3",2086,6192.37146640655,4287.3074340449,4647.51248350214,7302.77408392359,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"68","SSP3",2087,6099.07590378046,4257.75302035696,4664.30353422688,7337.40246396048,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"69","SSP3",2088,6000.46582130923,4275.53412839366,4701.47464933168,7371.93916799785,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"70","SSP3",2089,5910.28165636747,4292.46252122038,4738.01061199905,7404.51775427674,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"71","SSP3",2090,5820.59931101233,4308.43088789005,4773.33801713188,7435.22290933972,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"72","SSP3",2091,5860.57955311615,4321.89074297054,4809.21199369039,7459.20439225945,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"73","SSP3",2092,5856.68076882712,4333.80917350675,4838.0271794602,7480.76241649456,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"74","SSP3",2093,5846.83638966247,4345.01572211137,4866.37558377888,7501.41014241611,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"75","SSP3",2094,5836.60673283903,4355.38012865298,4893.49544064938,7520.02531999485,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"76","SSP3",2095,5825.76094939479,4364.90720430312,4919.97289732478,7537.42294843856,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"77","SSP3",2096,5755.45139915968,4314.60155310823,4919.94844725258,7549.85586576727,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"78","SSP3",2097,5702.95487654985,4263.14868169643,4910.46532595708,7560.28808670694,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"79","SSP3",2098,5678.87023791136,4226.52639203705,4908.22990579004,7569.92664767879,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"80","SSP3",2099,5580.14787863904,4232.61345925298,4930.28284475657,7580.69598867021,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"81","SSP3",2100,5511.17064430249,4238.23752134939,4951.62505098977,7590.26404171214,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
