Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2088,1356.16783,1059.531144,1072.962368,1480.0108,71.53816639,400.2909093,144.8154574,632.403925,648.9365207,1049.958025,885.8896393,3904.500145,490.2921061,1454.5242
SSP3,2089,1335.785269,1063.839055,1081.300543,1486.551365,71.0650582,397.6436384,143.8577396,628.2216054,644.644865,1012.461523,853.7321693,3878.678251,487.0496242,1333.31385
SSP3,2090,1315.516124,1067.906285,1089.362902,1492.715818,70.59195002,394.9963675,142.9000218,624.0392859,640.3532093,974.9650206,821.5746994,3852.856356,483.8071423,1212.1035
SSP3,2091,1324.552075,1071.344465,1097.549998,1497.530406,70.10019455,392.244756,141.904556,619.6921226,635.8924005,937.4685186,789.4172294,3826.016707,480.4368599,1090.89315
SSP3,2092,1323.670909,1074.381851,1104.12615,1501.858458,69.60843909,389.4931444,140.9090903,615.3449594,631.4315917,899.9720165,757.2597595,3799.177058,477.0665775,969.6828
SSP3,2093,1321.445977,1077.245943,1110.595775,1506.00375,69.11668362,386.7415329,139.9136246,610.9977962,626.9707829,862.4755144,725.1022896,3772.337409,473.6962951,848.47245
SSP3,2094,1319.133968,1079.895227,1116.785021,1509.740986,68.62492815,383.9899214,138.9181589,606.6506329,622.5099742,824.9790124,692.9448196,3745.49776,470.3260127,727.2621
SSP3,2095,1316.682708,1082.339229,1122.827659,1513.23378,68.13317269,381.2383099,137.9226931,602.3034697,618.0491654,787.4825103,660.7873497,3718.65811,466.9557303,606.05175
SSP3,2096,1300.792016,1070.832874,1122.822078,1515.729845,67.62063882,378.3704331,136.8851655,597.7726235,613.3998717,749.9860083,628.6298798,3690.684392,463.4430416,484.8414
SSP3,2097,1288.927255,1059.011035,1120.657858,1517.824251,67.10810496,375.5025563,135.8476378,593.2417773,608.750578,712.4895062,596.4724098,3662.710673,459.9303529,363.63105
SSP3,2098,1283.483876,1050.63364,1120.147692,1519.759314,66.59557109,372.6346795,134.8101102,588.7109311,604.1012844,674.9930041,564.3149399,3634.736954,456.4176642,242.4207
SSP3,2099,1261.171593,1052.215045,1125.180576,1521.921395,66.08303722,369.7668027,133.7725825,584.1800849,599.4519907,637.4965021,532.1574699,3606.763235,452.9049755,121.21035
SSP3,2100,1245.582019,1053.677435,1130.051257,1523.842306,65.57050336,366.8989259,132.7350548,579.6492387,594.802697,600,500,3578.789516,449.3922868,0
